InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,Revenue,InvoiceDate,CustomerID,Country
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,Christmas & Seasonal,6,2.1,12.600000000000001,2009-12-01 09:08:00,15362,United Kingdom
489437,22111,SCOTTIE DOG HOT WATER BOTTLE,Kitchen & Dining,3,4.95,14.850000000000001,2009-12-01 09:08:00,15362,United Kingdom
489439,16169N,WRAP BLUE RUSSIAN FOLKART,Stationery & Paper,25,0.42,10.5,2009-12-01 09:28:00,12682,France
489442,21582,KINGS CHOICE SMALL TUBE MATCHES,Other Homeware,20,1.65,33.0,2009-12-01 09:46:00,13635,United Kingdom
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,Lighting & Candles,12,1.25,15.0,2009-12-01 10:06:00,13758,United Kingdom
489460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,Kitchen & Dining,24,0.55,13.200000000000001,2009-12-01 10:46:00,16167,United Kingdom
489520,22121,NOEL WOODEN BLOCK LETTERS,Other Homeware,3,5.95,17.85,2009-12-01 11:41:00,14911,EIRE
489529,20673,STRAWBERRIES PRINT BOWL,Kitchen & Dining,4,1.25,5.0,2009-12-01 11:51:00,17984,United Kingdom
489536,20961,STRAWBERRY BATH SPONGE,Other Homeware,1,1.25,1.25,2009-12-01 12:13:00,16393,United Kingdom
489536,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",Bags & Storage,3,0.85,2.55,2009-12-01 12:13:00,16393,United Kingdom
489536,22185,SLATE TILE NATURAL HANGING,Home Decor,2,1.65,3.3,2009-12-01 12:13:00,16393,United Kingdom
489545,21125,SET 6 FOOTBALL CELEBRATION CANDLES,Lighting & Candles,1,1.25,1.25,2009-12-01 12:22:00,17804,United Kingdom
489547,21591,COSY HOUR CIGAR BOX MATCHES,Other Homeware,24,1.25,30.0,2009-12-01 12:30:00,13599,United Kingdom
489547,21871,SAVE THE PLANET MUG,Kitchen & Dining,12,1.25,15.0,2009-12-01 12:30:00,13599,United Kingdom
489548,22254,FELT TOADSTOOL LARGE,Other Homeware,12,1.25,15.0,2009-12-01 12:32:00,,United Kingdom
489557,21238,RED SPOTTY CUP,Kitchen & Dining,16,0.85,13.6,2009-12-01 12:52:00,12490,France
489560,35931,PINK STAR CHRISTMAS DECORATION,Christmas & Seasonal,48,0.38,18.240000000000002,2009-12-01 12:56:00,13526,United Kingdom
489560,90092,BLUE CRYSTAL BOOT PHONE CHARM,Other Homeware,3,0.85,2.55,2009-12-01 12:56:00,13526,United Kingdom
489562,47566,PARTY BUNTING,Bags & Storage,1,4.65,4.65,2009-12-01 13:07:00,17998,United Kingdom
489562,20681,PINK SPOTTY CHILDS UMBRELLA,Toys & Children,1,3.25,3.25,2009-12-01 13:07:00,17998,United Kingdom
489572,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,Other Homeware,1,5.95,5.95,2009-12-01 13:29:00,17611,United Kingdom
489573,21912,VINTAGE SNAKES & LADDERS,Other Homeware,3,3.75,11.25,2009-12-01 13:29:00,15051,United Kingdom
489573,22070,SMALL RETRO SPOT MUG IN BOX  RED,Kitchen & Dining,4,3.75,15.0,2009-12-01 13:29:00,15051,United Kingdom
489572,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,Other Homeware,1,5.95,5.95,2009-12-01 13:29:00,17611,United Kingdom
489572,21314,SMALL GLASS HEART TRINKET POT,Home Decor,4,2.1,8.4,2009-12-01 13:29:00,17611,United Kingdom
489574,21015,DARK BIRD HOUSE TREE DECORATION,Home Decor,4,0.85,3.4,2009-12-01 13:31:00,13097,United Kingdom
489574,21745,GAOLERS KEYS DECORATIVE GARDEN,Garden & Outdoor,4,3.75,15.0,2009-12-01 13:31:00,13097,United Kingdom
489574,21481,FAWN BLUE HOT WATER BOTTLE,Kitchen & Dining,2,2.95,5.9,2009-12-01 13:31:00,13097,United Kingdom
489575,21481,FAWN BLUE HOT WATER BOTTLE,Kitchen & Dining,6,2.95,17.700000000000003,2009-12-01 13:37:00,13590,United Kingdom
489579,20677,PINK SPOTTY BOWL,Kitchen & Dining,4,1.25,5.0,2009-12-01 13:41:00,16887,United Kingdom
489594,84508A,CAMOFLAGE DESIGN TEDDY,Home Decor,2,2.55,5.1,2009-12-01 14:19:00,15005,United Kingdom
489594,21929,JUMBO BAG PINK VINTAGE PAISLEY,Bags & Storage,2,1.95,3.9,2009-12-01 14:19:00,15005,United Kingdom
489593,21490,SET OF THREE 50'S GIFT WRAPS,Stationery & Paper,4,1.95,7.8,2009-12-01 14:19:00,12836,United Kingdom
489594,22131,FOOD CONTAINER SET 3 LOVE HEART,Home Decor,3,1.95,5.85,2009-12-01 14:19:00,15005,United Kingdom
489594,37448,CERAMIC CAKE DESIGN SPOTTED MUG,Kitchen & Dining,3,1.49,4.47,2009-12-01 14:19:00,15005,United Kingdom
489597,85185D,FROG SOCK PUPPET,Other Homeware,1,6.04,6.04,2009-12-01 14:28:00,,United Kingdom
489597,22295,HEART FILIGREE DOVE LARGE,Home Decor,1,3.43,3.43,2009-12-01 14:28:00,,United Kingdom
489597,85033G,SET/6 GOLD REINDEER T-LIGHT CANDLES,Christmas & Seasonal,4,4.3,17.2,2009-12-01 14:28:00,,United Kingdom
489597,21058,PARTY INVITES WOODLAND,Party & Celebration,3,1.7,5.1,2009-12-01 14:28:00,,United Kingdom
489597,20972,PINK CREAM FELT CRAFT TRINKET BOX,Other Homeware,1,2.57,2.57,2009-12-01 14:28:00,,United Kingdom
489597,35962,12 ASS ZINC CHRISTMAS DECORATIONS,Christmas & Seasonal,1,4.3,4.3,2009-12-01 14:28:00,,United Kingdom
489597,21730,GLASS STAR FROSTED T-LIGHT HOLDER,Lighting & Candles,1,10.39,10.39,2009-12-01 14:28:00,,United Kingdom
489597,21069,VINTAGE BILLBOARD TEA MUG,Kitchen & Dining,1,2.57,2.57,2009-12-01 14:28:00,,United Kingdom
489597,21542,WOODLAND WATER TRANSFER TATTOOS,Other Homeware,1,1.7,1.7,2009-12-01 14:28:00,,United Kingdom
489599,21155,RED SPOTTY PEG BAG,Bags & Storage,12,2.1,25.200000000000003,2009-12-01 14:40:00,12758,Portugal
489599,21165,BEWARE OF THE CAT METAL SIGN,Home Decor,36,1.69,60.839999999999996,2009-12-01 14:40:00,12758,Portugal
489599,20711,JUMBO BAG TOYS,Bags & Storage,30,1.95,58.5,2009-12-01 14:40:00,12758,Portugal
489604,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Christmas & Seasonal,2,6.04,12.08,2009-12-01 14:47:00,,United Kingdom
489607,21658,GLASS  BEURRE DISH,Other Homeware,1,8.65,8.65,2009-12-01 14:49:00,,United Kingdom
489607,21479,WHITE SKULL HOT WATER BOTTLE,Kitchen & Dining,1,7.78,7.78,2009-12-01 14:49:00,,United Kingdom
489612,21478,SILVER SKULL HOT WATER BOTTLE,Kitchen & Dining,1,7.78,7.78,2009-12-01 14:55:00,,United Kingdom
489612,21489,BLUE WHITE SCARF HOT WATER BOTTLE,Kitchen & Dining,1,8.65,8.65,2009-12-01 14:55:00,,United Kingdom
489612,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,Stationery & Paper,2,3.43,6.86,2009-12-01 14:55:00,,United Kingdom
489616,22083,PAPER CHAIN KIT RETRO SPOT,Stationery & Paper,3,6.04,18.12,2009-12-01 14:58:00,,United Kingdom
489635,21541,DINOSAURS WATER TRANSFER TATTOOS,Other Homeware,12,0.85,10.2,2009-12-01 15:26:00,16763,United Kingdom
489635,51014C,"FEATHER PEN,COAL BLACK",Stationery & Paper,12,0.85,10.2,2009-12-01 15:26:00,16763,United Kingdom
489640,35085E,IVORY ROSE LAMPSHADE,Lighting & Candles,1,1.25,1.25,2009-12-01 16:17:00,17345,United Kingdom
489641,79323W,WHITE CHERRY LIGHTS,Lighting & Candles,4,6.75,27.0,2009-12-01 16:18:00,13819,United Kingdom
489644,20723,STRAWBERRY CHARLOTTE BAG,Bags & Storage,20,0.85,17.0,2009-12-01 16:30:00,15808,United Kingdom
489654,21025,SPACE FROG,Other Homeware,2,1.25,2.5,2009-12-01 17:19:00,15750,United Kingdom
489654,22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",Home Decor,1,9.95,9.95,2009-12-01 17:19:00,15750,United Kingdom
489668,21490,SET OF THREE 50'S GIFT WRAPS,Stationery & Paper,48,1.65,79.19999999999999,2009-12-01 19:19:00,16701,United Kingdom
489673,22195,HEART MEASURING SPOONS LARGE,Home Decor,12,1.65,19.799999999999997,2009-12-02 09:23:00,14831,United Kingdom
489679,21299,EDWARDIAN TOILET ROLL UNIT,Other Homeware,1,12.75,12.75,2009-12-02 10:00:00,16163,United Kingdom
