CustomerID,PrimaryCountry,CustomerSegment,Cluster,Recency,Frequency,Monetary,AverageOrderValue,TotalUnits,FirstPurchase,LastPurchase,TenureDays,CustomerStatus
12346,United Kingdom,Minimum,3,326,3,77352.96,25784.320000000003,74239,2010-03-02 13:08:00,2011-01-18 10:01:00,323,Inactive >90 Days
12347,Iceland,Potential,4,3,8,4921.53,615.19125,2967,2010-10-31 14:20:00,2011-12-07 15:52:00,403,Recently Active
12348,Finland,Minimum,3,76,5,1658.3999999999999,331.67999999999995,2704,2010-09-27 14:59:00,2011-09-25 13:13:00,364,Recently Active
12349,Italy,Potential,4,19,3,3678.69,1226.23,1621,2010-04-29 13:20:00,2011-11-21 09:51:00,572,Recently Active
12350,Norway,General,1,311,1,294.40000000000003,294.40000000000003,196,2011-02-02 16:01:00,2011-02-02 16:01:00,1,Inactive >90 Days
12351,Unspecified,General,1,376,1,300.93,300.93,261,2010-11-29 15:23:00,2010-11-29 15:23:00,1,Inactive >90 Days
12352,Norway,Potential,4,37,9,1729.54,192.17111111111112,714,2010-11-12 10:20:00,2011-11-03 14:37:00,357,Recently Active
12353,Bahrain,General,1,205,2,406.76,203.38,212,2010-10-27 12:44:00,2011-05-19 17:47:00,205,Inactive >90 Days
12354,Spain,Minimum,3,233,1,1079.4,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,1,Inactive >90 Days
12355,Bahrain,Minimum,3,215,2,947.61,473.805,543,2010-05-21 11:59:00,2011-05-09 13:49:00,354,Inactive >90 Days
12356,Portugal,Potential,4,23,6,5611.7300000000005,935.2883333333334,3376,2010-10-11 09:42:00,2011-11-17 08:40:00,403,Recently Active
12357,Switzerland,Potential,4,34,2,17437.66,8718.83,6586,2010-11-16 10:05:00,2011-11-06 16:07:00,356,Recently Active
12358,Austria,Potential,4,2,5,3447.07,689.414,1068,2009-12-08 07:59:00,2011-12-08 10:26:00,731,Recently Active
12359,Cyprus,Potential,4,58,10,8873.39,887.3389999999999,2739,2009-12-05 13:32:00,2011-10-13 12:47:00,678,Recently Active
12360,Austria,Potential,4,53,6,3612.89,602.1483333333333,2443,2010-02-22 09:32:00,2011-10-18 15:22:00,604,Recently Active
12361,Belgium,Minimum,3,288,4,451.25,112.8125,231,2010-01-26 14:37:00,2011-02-25 13:51:00,396,Inactive >90 Days
12362,Belgium,Potential,4,4,10,4737.2300000000005,473.72300000000007,2197,2011-02-17 10:30:00,2011-12-06 15:40:00,293,Recently Active
12363,Unspecified,Prospective,0,110,2,552.0,276.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,134,Inactive >90 Days
12364,Belgium,Prospective,0,8,4,1208.1,302.025,1499,2011-08-19 15:24:00,2011-12-02 10:22:00,106,Recently Active
12365,Cyprus,General,1,292,1,320.69,320.69,173,2011-02-21 13:51:00,2011-02-21 13:51:00,1,Inactive >90 Days
12366,Cyprus,General,1,634,1,500.24,500.24,296,2010-03-16 10:28:00,2010-03-16 10:28:00,1,Inactive >90 Days
12367,Denmark,Prospective,0,5,1,150.9,150.9,172,2011-12-05 16:48:00,2011-12-05 16:48:00,1,Recently Active
12368,Cyprus,General,1,629,1,917.7,917.7,330,2010-03-21 15:56:00,2010-03-21 15:56:00,1,Inactive >90 Days
